epochs,ttvs,ttvs_low_err,ttvs_high_err
0,-6.918395720422268,1.1952996656298644,1.2866690620779986
1,-7.543051689863205,1.1479724228382118,1.2157506108284002
2,1.512206643819809,3.2446699082851405,3.5002120345830914
3,-8.161588534712791,1.1143731683492657,1.141076838970184
4,4.1412874683737755,0.7600764915347096,0.7453095898032185
5,4.958929046988487,0.8377599298954008,0.8328510314226154
6,-0.25205086916685104,0.9567835047841071,1.1002005234360694
7,13.628237955272198,1.007395501434802,0.9461714521050464
8,2.887292727828026,1.1352882027626037,1.1592808306217197
29,-4.499282576143742,0.5900643512606623,0.6075439587235447
