,time,yerr,mask,method marginalized,local,polyAM,GP,CoFiAM
0,2459775.839594438,0.004738417787106495,False,0.0010612183923278673,0.001061218440189915,0.0010612183444658196,0.0010615242965374971,1.718542919304511e-06
1,2459775.841400012,0.004738417800324021,False,-0.007838638541669996,-0.007838922028580941,-0.007838922107903379,-0.00783835505475905,2.629767992257115e-07
2,2459775.843217156,0.004738417812205907,False,-0.004666849710261212,-0.004667212468375759,-0.004667212526481168,-0.0046664869521466645,-1.6786907395260897e-06
3,2459775.845022721,0.004738417817307268,False,-0.0017643354537976164,-0.001764727361768914,-0.0017647274039493954,-0.0017639435458263186,6.159997192334288e-07
4,2459775.846816714,0.004738417815557534,False,0.007419468876951885,0.007419468892744252,0.007419468861159517,0.007420233229233464,3.2940124559122097e-06
5,2459775.848622289,0.004738417807713303,False,0.003469020314905924,0.003469020322034222,0.003469020307777626,0.003469690368230527,-6.102802008189911e-07
6,2459775.850427853,0.004738417797506062,False,-0.00495823218799879,-0.004958493408794951,-0.0049584934154900395,-0.0049579709672026295,-3.049913153585493e-06
7,2459775.852244997,0.0047384177884751315,False,0.00813554077909484,0.00813554077494194,0.008135540783247741,0.00813588313361402,-2.351052161952971e-06
8,2459775.854050571,0.0047384177825917405,False,-0.009778013475612968,-0.00977807622810467,-0.009778076212318854,-0.009777950738907082,1.936989493245278e-06
9,2459775.857673279,0.004738417788432301,False,0.0057131810306916275,0.005713351653200416,0.005713351686426726,0.005713010408182839,-4.51268986734199e-07
10,2459775.859467283,0.004738417799796364,False,0.008974096577210933,0.008974376041396726,0.008974376084913471,0.00897381711302514,-8.094182315510068e-07
11,2459775.861272847,0.004738417813582636,False,0.0004947633373715288,0.0004951341929109176,0.0004951342368344491,0.0004943924818321399,8.204618482388071e-07
12,2459775.863078421,0.004738417828449386,False,0.0010871630247970554,0.0010876120526481792,0.001087612097594226,0.0010867139969459316,8.197250467301131e-07
13,2459775.864883985,0.004738417842190695,False,0.0010542301776534924,0.0010547409221326465,0.0010547409811485497,0.0010537194331743382,2.929739959522948e-07
14,2459775.866677979,0.00473841785403386,False,0.005244901708309713,0.005245460209886366,0.005245460257029544,0.00524434320673306,2.761514721338898e-07
15,2459775.868483553,0.004738417860475004,False,-0.00614314308030578,-0.006143143109183402,-0.006143143051428157,-0.006144308762364936,-1.108403287264359e-06
16,2459775.87210626,0.004738417868402036,False,-0.0022467239516199,-0.002246723976159992,-0.002246723927079808,-0.002247946869225914,-1.053048664489964e-06
17,2459775.873911834,0.004738417867709298,False,0.00042862171221735856,0.0004292307133770823,0.00042923075903522623,0.00042801271105763483,1.3177552797838388e-06
18,2459775.875717408,0.004738417862534499,False,-0.0026866124025983207,-0.0026866124289086635,-0.002686612376287978,-0.002687793223005275,-3.512436719255163e-06
19,2459775.877511402,0.0047384178548368055,False,0.0003075280232153199,0.0003080896149791901,0.0003080896627460916,0.00030696643145144975,1.4931340934776216e-06
20,2459775.879316966,0.004738417843186727,False,0.0012517046222495498,0.001252219563530943,0.0012522196019937315,0.0012511896809681566,9.010274801823925e-07
21,2459775.881122539,0.004738417828598986,False,0.002679350516678336,0.002679800265970478,0.002679800303207136,0.002678900767386194,4.16063038910508e-07
22,2459775.882928103,0.00473841781227578,False,0.00034351473243943165,0.0003438779242286305,0.000343877944889881,0.0003431515406502328,-1.2253223080627151e-07
23,2459775.884745246,0.0047384177970287425,False,-0.001434596626714968,-0.0014345966338329408,-0.001434596619596995,-0.0014351111296599939,-4.215183898592656e-07
24,2459775.88653924,0.004738417785898252,False,-0.004429411318867815,-0.004429411321097643,-0.004429411316637988,-0.004429681075647118,9.254910249278936e-07
25,2459775.888344814,0.0047384177816847005,False,-0.01375735316026222,-0.013757358283034704,-0.013757358293976174,-0.013757348037489736,-1.3153329703197159e-06
26,2459775.890150387,0.004738417788221181,False,0.008162547435113687,0.0081625474442657,0.008162547425961675,0.00816288332767856,2.601202193641683e-07
27,2459775.891955951,0.004738417811346731,False,0.002226253247496701,0.002226253259676403,0.0022262532353169995,0.0022269685263216488,1.988832767363391e-07
28,2459775.893761524,0.004738417859312548,False,-0.004820216436334068,-0.004820794952253071,-0.004820795000742062,-0.004819637920415065,4.2264016375526126e-07
29,2459775.895567088,0.004738417947129304,False,0.001208084491492567,0.0012080845252668837,0.0012080844577182503,0.0012097736223741773,6.95819781570961e-07
30,2459775.897372662,0.00473841808724005,False,-0.0003902338867811661,-0.00039138162478891125,-0.0003913816998504238,-0.00038908614877342096,3.233014544967716e-08
31,2459775.899178225,0.004738418309119086,False,0.0056514269660392635,0.005651427011850618,0.005651426920227909,0.005654442872162324,-2.1720262199931284e-07
32,2459775.900972218,0.004738418607202735,True,-0.005820258768042819,-0.005820258714844151,-0.005820258821241486,-0.005816485684206896,-0.017274079449991486
33,2459775.902777792,0.004738419056814875,True,-0.001260951393736942,-0.001260951332297977,-0.0012609514551759071,-0.0012562620689672288,-0.018627885758925045
34,2459775.904594935,0.004738419656969267,True,-0.0022329173803613545,-0.0022329173109433276,-0.0022329174497793813,-0.002227230596658969,-0.025404778596430866
35,2459775.906388929,0.00473842043164772,True,-0.003864611498398507,-0.003864611421171449,-0.003864611575625565,-0.0038578513974959483,-0.03266874271539055
36,2459775.908194502,0.00473842149919472,True,0.004074880171521911,0.004074880257400437,0.004074880085643384,0.00408288698164716,-0.030643427791515743
37,2459775.910000066,0.00473842279344733,True,0.004475347483380965,0.004475347577332256,0.004475347389429674,0.004484644185365205,-0.03587694882395853
