,time,yerr,mask,method marginalized,local,polyAM,GP,CoFiAM
0,274.8343168011925,9.732803855437311e-05,False,3.053419497944798e-05,3.843595005514899e-05,0.00011656845265939353,1.809776975991717e-05,2.263243990374697e-05
1,274.8547495978128,9.700386742978724e-05,False,3.048683200446156e-06,1.0183623018633625e-05,8.952803398654119e-05,-7.105653064165551e-06,-4.086256617741313e-06
2,274.87518219442427,9.673946442862502e-05,False,-2.6105599909842514e-05,-1.9642821612819716e-05,6.063571696901526e-05,-3.401450393736294e-05,-3.256837820686531e-05
3,274.895614890811,9.654627150554696e-05,False,3.709706737409224e-06,9.4905611085494e-06,9.045311549704671e-05,-2.071147633730952e-06,-2.260240950069381e-06
4,274.91604768695834,9.648664522118134e-05,False,0.00011650236618032661,0.00012092685176345874,0.00020232437321565655,0.00011207788059719448,0.00011018371272020211
5,274.9364802828786,9.643342873705567e-05,False,4.4432598112154054e-05,4.7538138903790994e-05,0.00012911059534648217,4.132705732051711e-05,3.765302989999775e-05
6,274.9773456744879,9.635795477260282e-05,False,-0.00011254530069992885,-0.00011197037426435852,-3.072661639369478e-05,-0.00011312022713549919,-0.00012054003661887691
7,274.997778369936,9.640660351539731e-05,False,0.00014464807182734685,0.00014401352945148105,0.0002248015611094889,0.00014528261420321265,0.00013592222426539458
8,275.0386437606139,9.66556791773562e-05,False,-9.473555134653644e-05,-9.767544930194827e-05,-1.8459137619775134e-05,-9.179565339112461e-05,-0.00010511365824283914
9,275.0590765555972,9.681620665449372e-05,False,-9.330633310555836e-05,-9.73357512363826e-05,-1.9172221336627437e-05,-8.927691497473411e-05,-0.00010457974251054658
10,275.07950915035326,9.701461154948656e-05,False,0.00030499637572145577,0.00029991894129510754,0.00037688559979520697,0.000310073810147804,0.0002927894896362915
11,275.0999418451101,9.720368141695824e-05,False,-5.499044182716295e-05,-6.107479569916752e-05,1.4477915953881038e-05,-4.8906087955158384e-05,-6.814520833653415e-05
12,275.1203746396277,9.742576145723541e-05,False,2.753818354672699e-05,2.0498357453435645e-05,9.451178007124916e-05,3.457800964001834e-05,1.3422770609450296e-05
13,275.14080723391817,9.764928478580438e-05,False,-4.7073588126722576e-05,-5.5002245164859076e-05,1.7316566401692768e-05,-3.914493108858608e-05,-6.212921684078943e-05
14,275.1612399282094,9.788151662818735e-05,False,1.3432355774334326e-06,-7.392440134035283e-06,6.309866352038895e-05,1.0078911288902148e-05,-1.4614895531450678e-05
15,275.18167252225976,9.810351234123624e-05,False,2.3454894875651888e-05,1.4004940159795254e-05,8.254212690728124e-05,3.290484959150852e-05,6.660099063804381e-06
16,275.2021053160861,9.830249863960944e-05,False,-0.00015136583178410046,-0.00016141480572018363,-9.497080639120359e-05,-0.00014131685784801729,-0.000168912388151643
17,275.22253800991166,9.848338400817979e-05,False,2.661807168569119e-07,-1.0261644099673894e-05,5.40012259262479e-05,1.0794005533387718e-05,-1.7929564849139545e-05
18,275.2429707032643,9.861706062870854e-05,False,-0.00020638493259728108,-0.0002172544804198706,-0.00015530225574311718,-0.00019551538477469155,-0.00022510182951884783
19,275.2634033966242,9.872211907551547e-05,False,-5.0364948855796676e-05,-6.144248991857282e-05,-1.8748698283888032e-06,-3.9287407793020535e-05,-6.947709725702023e-05
20,275.2838360899841,9.878009897879005e-05,False,-5.880530174012799e-05,-6.99544272602104e-05,-1.2878110030367651e-05,-4.765617622004559e-05,-7.817990454062063e-05
21,275.3042687831039,9.879866811041508e-05,False,4.52978139117155e-05,3.419148902072955e-05,8.871144901445582e-05,5.6404138802701453e-05,2.5790739602848944e-05
22,275.3247013759974,9.877576105234959e-05,False,6.986711901146858e-05,5.891728345464031e-05,0.00011079067622921102,8.081695456829685e-05,5.03431295704182e-05
23,275.3451341686596,9.871492319960786e-05,False,-1.564681526816658e-05,-2.6342284402569582e-05,2.281361872680243e-05,-4.951346133763579e-06,-3.506945559916819e-05
24,275.3655668610809,9.86148325609862e-05,False,-0.00014949016007176352,-0.00015983245909889643,-0.00011346728959937824,-0.00013914786104463062,-0.00016870003196067795
25,275.3859994535087,9.849501308144384e-05,False,-2.735821478089262e-05,-3.726115637847638e-05,6.273400410261587e-06,-1.745527318330886e-05,-4.624609634518162e-05
26,275.4064322457052,9.834780237176106e-05,False,4.6264215171065715e-05,3.6878612221125096e-05,7.752857557319359e-05,5.5649818121006334e-05,2.780370848110003e-05
27,275.4268649378937,9.817911256466164e-05,False,3.6035923491994915e-05,2.7228325853556612e-05,6.495425847141689e-05,4.484352113043322e-05,1.8101164036554707e-05
28,275.44729752985586,9.800246920793855e-05,False,0.00013664361816856374,0.00012847247161640318,0.0001632276704004454,0.0001448147647207243,0.00011931155654520964
29,275.46773022158595,9.78106850190044e-05,False,0.00013978459517449693,0.00013229704230832695,0.00016404665288227704,0.0001472721480406669,0.00012314080039432795
30,275.4881630130767,9.760427595715441e-05,False,-9.672017681450207e-05,-0.00010347657546627698,-7.475162505532484e-05,-8.996377816272716e-05,-0.00011257526688268626
31,275.5085956045732,9.739593996371595e-05,False,-7.59936372706771e-05,-8.194446547216128e-05,-5.6276431903978796e-05,-7.004280906919291e-05,-9.096834550881283e-05
32,275.52902829583763,9.718675282803613e-05,False,-7.69314880703087e-05,-8.200443495598453e-05,-5.9400241088636285e-05,-7.185854118463286e-05,-9.090306420767025e-05
33,275.5698937778943,9.677283013818061e-05,False,9.447842795529127e-05,9.1408880545929e-05,0.00010785574351523941,9.754797536465354e-05,8.287989153532571e-05
