bjd_tdb,flux,flux_err,airmass
2459775.839594438,1.0009072645676533,0.004737733184619861,1.00237807223142
2459775.841400012,0.9920772057094301,0.004737733184619861,1.0029236496649
2459775.843217156,0.9953180213946523,0.004737733184619861,1.00355138378907
2459775.845022721,0.9982895966522851,0.004737733184619861,1.00426055652175
2459775.846816714,1.0075436147961363,0.004737733184619861,1.00504866103512
2459775.848622289,1.0036621754662263,0.004737733184619861,1.00591756804186
2459775.850427853,0.995301951519895,0.004737733184619861,1.00686958142675
2459775.852244997,1.0084696795771433,0.004737733184619861,1.00790581687172
2459775.854050571,0.9906187038299626,0.004737733184619861,1.00902436414211
2459775.857673279,1.0062560879495495,0.004737733184619861,1.01151122358899
2459775.859467283,1.009588301698923,0.004737733184619861,1.01287770601443
2459775.861272847,1.0011731902114738,0.004737733184619861,1.01432642811804
2459775.863078421,1.001835400717324,0.004737733184619861,1.01585995914549
2459775.864883985,1.0018718334919026,0.004737733184619861,1.01747894395977
2459775.866677979,1.0061351459380496,0.004737733184619861,1.01918367902246
2459775.868483553,0.9948052935746081,0.004737733184619861,1.02097448705275
2459775.87210626,0.9988440738154977,0.004737733184619861,1.02482291068206
2459775.873911834,1.001592239519447,0.004737733184619861,1.02688363648129
2459775.875717408,0.9985418439365265,0.004737733184619861,1.02903030377222
2459775.877511402,1.0016090675938623,0.004737733184619861,1.03126399866574
2459775.879316966,1.0026237675982492,0.004737733184619861,1.03358751465816
2459775.881122539,1.0041227452098371,0.004737733184619861,1.03600664952886
2459775.882928103,1.0018527405232587,0.004737733184619861,1.03851882347702
2459775.884745246,1.0001411829733309,0.004737733184619861,1.04112455734389
2459775.88653924,0.9972101491983996,0.004737733184619861,1.04382460047253
2459775.888344814,0.9879351435069739,0.004737733184619861,1.04661621528014
2459775.890150387,1.0099624873118414,0.004737733184619861,1.0495085066238
2459775.891955951,1.0040850043116292,0.004737733184619861,1.05249500525783
2459775.893761524,0.9970938083943348,0.004737733184619861,1.05557879187383
2459775.895567088,1.0032036258090908,0.004737733184619861,1.05876784008772
2459775.897372662,1.0016702004566715,0.004737733184619861,1.0620591994425
2459775.899178225,1.007795118527432,0.004737733184619861,1.06544772421504
2459775.900972218,0.9963673903646773,0.004737733184619861,1.06893934213395
2459775.902777792,1.0010058988280492,0.004737733184619861,1.07253619033723
2459775.904594935,1.000101270732329,0.004737733184619861,1.07624595283926
2459775.906388929,0.9985343051719253,0.004737733184619861,1.08006383129118
2459775.908194502,1.0065624549362568,0.004737733184619861,1.08398533740358
2459775.910000066,1.0070334798178848,0.004737733184619861,1.08801978560274
2459775.911805639,1.004266055069476,0.004737733184619861,1.09217025088657
2459775.913611203,1.0012243819856244,0.004737733184619861,1.09643486078757
2459775.915416776,1.0070882013982474,0.004737733184619861,1.10081775778203
2459775.917233919,0.9987433719457213,0.004737733184619861,1.10532122542314
2459775.919027912,1.0026270901604182,0.004737733184619861,1.1099438122856
2459775.920845055,0.9981529523598973,0.004737733184619861,1.11469478479936
2459775.922650629,0.9997110440276011,0.004737733184619861,1.1195710052286
2459775.924456192,1.0027582263572916,0.004737733184619861,1.12457159974807
2459775.926273336,0.9985956173374497,0.004737733184619861,1.12970158318934
2459775.928078909,1.0010843277932346,0.004737733184619861,1.13496011285234
2459775.929872902,0.9980408963410682,0.004737733184619861,1.14034039758785
2459775.931678465,1.0004930198069657,0.004737733184619861,1.14586009617807
2459775.933484038,1.0003340539772114,0.004737733184619861,1.15151079601106
2459775.935289601,0.9960447187269017,0.004737733184619861,1.15730367708535
2459775.937095175,0.9956209433338875,0.004737733184619861,1.16323856331904
2459775.938900748,0.9984626179277962,0.004737733184619861,1.16932973875581
2459775.940706311,0.9923127485007922,0.004737733184619861,1.17556908241024
2459775.942511884,0.9994912357503759,0.004737733184619861,1.18195623476599
2459775.944317447,1.0016966317775413,0.004737733184619861,1.18848895671104
2459775.94611144,0.994676714086797,0.004737733184619861,1.19518069791243
2459775.947917012,1.0,0.004737733184619861,1.20203529266121
2459775.949722575,0.9911737485141964,0.004737733184619861,1.20905619220857
2459775.951528149,0.9923770473203946,0.004737733184619861,1.21624534726535
2459775.953333721,0.9965478890802242,0.004737733184619861,1.22360564543433
2459775.955139285,1.0050808612546018,0.004737733184619861,1.2311358440568
2459775.956944858,0.9960811224706977,0.004737733184619861,1.23884754834241
2459775.95875042,1.005167004474024,0.004737733184619861,1.24673722114364
2459775.960544413,0.9991014579809254,0.004737733184619861,1.25481411087283
2459775.962349987,0.9952765425996163,0.004737733184619861,1.26308073635047
2459775.964155559,0.9946933431888939,0.004737733184619861,1.27154159104865
2459775.965972692,0.9937309406858408,0.004737733184619861,1.28022837092688
2459775.967766695,0.9946882409884594,0.004737733184619861,1.28910796796068
2459775.969572258,1.000613597875234,0.004737733184619861,1.29819226760029
2459775.97137783,1.0062054700111194,0.004737733184619861,1.30748877936653
2459775.973194973,0.9961220378176798,0.004737733184619861,1.3170153992662
2459775.974988966,0.9973747568313014,0.004737733184619861,1.32676714246617
2459775.976806109,1.0029703437789381,0.004737733184619861,1.33674983510312
2459775.978611671,0.9951933614170214,0.004737733184619861,1.34698596643173
2459775.980417245,0.9940148299525033,0.004737733184619861,1.35746593802615
2459775.982222807,1.0002275899672886,0.004737733184619861,1.36818029701201
2459775.984028379,1.001073714983335,0.004737733184619861,1.37913242576542
2459775.985833952,0.9937890581420175,0.004737733184619861,1.39034563225163
2459775.987639515,1.0008688483265722,0.004737733184619861,1.40182901456122
2459775.989445088,0.992541122056501,0.004737733184619861,1.41362337936377
