epochs,times,ttvs,times_low_err,times_high_err
0,277.5056279571054,-1.1014120503932645,0.00037534246149562023,0.00040131996951231486
1,438.3877701232243,-3.9033162969371915,0.0004505830089556184,0.0004288445623501502
3,760.1546033967913,-5.836649276025128,0.0004611117437889334,0.0004559453802812641
4,921.0457522675113,4.3311011029618385,0.0003882572793827421,0.0004121183686720542
5,1081.9294412527865,3.7566164416784886,0.000411570056257915,0.00040394712868874194
6,1242.8089948589727,-2.772814108102466,0.00034868817124333873,0.00035471545834298013
7,1403.7018577677827,9.863151120443945,0.0004350309318397194,0.0004335113862907747
8,1564.5776120989847,-2.1372354065897525,0.00035384191164666845,0.0003754690342248068
29,4943.138400360856,-9.421230924344854,0.0034123870264011202,0.0033390354037692305
31,5264.918038527391,7.084481970086927,0.0015492037618969334,0.0017412256920579239
