#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1
2460097.676462	0.998743	0.001339	5.082524	205.925459
2460097.677400	1.000798	0.001343	5.077123	204.964870
2460097.678336	1.000773	0.001336	5.014346	203.805046
2460097.679283	0.997861	0.001328	4.929041	204.915395
2460097.680225	1.000094	0.001335	4.988476	200.911353
2460097.681175	1.001445	0.001352	5.157619	200.060500
2460097.682120	0.999537	0.001331	5.028087	197.951972
2460097.683055	1.000419	0.001343	5.113203	196.645008
2460097.683993	1.001662	0.001352	5.160646	192.618653
2460097.684944	1.001520	0.001336	5.046424	188.143761
2460097.685892	1.001951	0.001332	4.971516	183.398329
2460097.686880	0.997614	0.001330	5.034008	180.191580
2460097.687821	0.999662	0.001344	5.150347	173.222984
2460097.688759	1.000294	0.001335	5.103103	172.327776
2460097.689706	0.999950	0.001364	5.291023	170.773334
2460097.690657	1.000819	0.001341	5.114704	165.076619
2460097.691607	1.001170	0.001335	5.092863	158.541732
2460097.692547	0.998769	0.001333	5.045049	157.617479
2460097.693490	0.999775	0.001336	5.108188	156.518971
2460097.694445	1.001246	0.001343	5.145357	154.212801
2460097.695383	1.000158	0.001355	5.247707	150.514190
2460097.696319	0.999617	0.001374	5.376124	147.566177
2460097.697271	1.000155	0.001372	5.374691	143.907630
2460097.698213	1.001356	0.001378	5.386758	137.706503
2460097.699152	0.999204	0.001333	5.068919	134.119468
2460097.700086	1.001204	0.001337	5.078873	132.579751
2460097.701039	0.997526	0.001362	5.302107	130.699049
2460097.701979	0.998872	0.001377	5.265357	128.161973
2460097.702910	0.999257	0.001352	5.216773	127.190730
2460097.703845	1.000437	0.001344	5.187946	127.420900
2460097.704785	1.000364	0.001346	5.153447	127.749774
2460097.705722	0.998494	0.001364	5.310549	126.857425
2460097.706655	0.994918	0.001336	5.075960	127.675137
2460097.707591	0.998673	0.001335	5.065153	129.305980
2460097.708531	1.000289	0.001342	5.125577	132.851255
2460097.709481	0.997557	0.001337	5.072311	137.598042
2460097.710428	0.996442	0.001340	5.100949	143.546194
2460097.711365	0.998349	0.001336	5.068155	150.885374
2460097.712308	0.996444	0.001336	5.005778	166.249602
2460097.713238	0.995776	0.001331	4.969197	174.318464
2460097.714177	0.997207	0.001334	4.966195	190.159444
2460097.715112	0.998304	0.001343	5.026468	211.337979
2460097.716052	0.995883	0.001340	5.001412	238.331820
2460097.716992	0.995203	0.001342	4.971880	271.508005
2460097.717928	0.994759	0.001337	4.926961	320.071678
