#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2460097.666608	1.001964	0.007468	1.281542
2460097.667144	0.999594	0.007403	1.279065
2460097.667621	0.998427	0.007375	1.276871
2460097.668152	0.989055	0.007388	1.274447
2460097.668677	1.021469	0.007477	1.272063
2460097.669213	1.000510	0.007356	1.269648
2460097.669744	0.997644	0.007270	1.267269
2460097.670273	0.984198	0.007268	1.264915
2460097.670807	1.002842	0.007263	1.262556
2460097.671280	1.020296	0.007273	1.260471
2460097.671806	1.000785	0.007277	1.258176
2460097.672347	0.994410	0.007257	1.255831
2460097.672823	0.996746	0.007282	1.253777
2460097.673298	1.013168	0.007241	1.251736
2460097.673825	1.007754	0.007336	1.249489
2460097.674326	0.990974	0.007209	1.247368
2460097.674856	1.000842	0.007279	1.245140
2460097.675382	1.003065	0.007202	1.242941
2460097.675908	1.004745	0.007240	1.240752
2460097.676383	1.001788	0.007170	1.238792
2460097.676913	0.990231	0.007195	1.236615
2460097.677444	0.988133	0.007167	1.234447
2460097.677966	1.000327	0.007159	1.232332
2460097.678502	0.988136	0.007224	1.230170
2460097.679028	1.010205	0.007089	1.228062
2460097.679505	1.000803	0.007097	1.226167
2460097.680035	0.997425	0.007131	1.224072
2460097.680508	0.991868	0.007083	1.222210
2460097.680983	1.004179	0.007110	1.220353
2460097.681516	1.003213	0.007087	1.218286
2460097.682051	1.006539	0.007059	1.216221
2460097.682575	0.992469	0.007067	1.214255
2460097.683105	0.996694	0.007074	1.212239
2460097.683659	0.995584	0.007037	1.210143
2460097.684166	0.999866	0.007051	1.208241
2460097.684644	0.994297	0.007036	1.206454
2460097.685178	1.007083	0.007025	1.204473
2460097.685747	0.997087	0.006954	1.202377
2460097.686283	1.001407	0.006949	1.200417
2460097.686836	0.989906	0.006898	1.198406
2460097.687336	1.003102	0.006989	1.196601
2460097.687838	0.986978	0.006819	1.194802
2460097.688338	1.002848	0.006947	1.193017
2460097.688812	0.993137	0.006883	1.191338
2460097.689347	0.989030	0.006820	1.189454
2460097.689855	0.992286	0.006833	1.187674
2460097.690358	0.994561	0.006821	1.185926
2460097.690832	1.010239	0.006856	1.184285
2460097.691307	1.014737	0.006891	1.182655
2460097.691782	0.998490	0.006792	1.181035
2460097.692310	1.004846	0.006799	1.179240
2460097.692838	0.994836	0.006743	1.177462
2460097.693312	0.998997	0.006697	1.175871
2460097.693842	1.005664	0.006807	1.174110
2460097.694376	0.986783	0.006704	1.172308
2460097.694852	0.997014	0.006765	1.170778
2460097.695376	1.003561	0.006727	1.169071
2460097.695904	0.992600	0.006715	1.167355
2460097.696405	1.002249	0.006711	1.165743
2460097.696937	0.999728	0.006642	1.164040
2460097.697413	1.002831	0.006699	1.162524
2460097.697940	1.003610	0.006705	1.160857
2460097.698414	1.014473	0.006714	1.159369
2460097.698940	1.006394	0.006660	1.157727
2460097.699415	0.997280	0.006628	1.156254
2460097.699955	0.985458	0.006666	1.154590
2460097.700431	0.996196	0.006597	1.153130
2460097.700968	0.989276	0.006682	1.151497
2460097.701498	0.999536	0.006623	1.149898
2460097.702024	0.997616	0.006626	1.148318
2460097.702546	0.994280	0.006600	1.146764
2460097.703070	0.995637	0.006638	1.145213
2460097.703545	1.008192	0.006645	1.143818
2460097.704065	0.997062	0.006607	1.142299
2460097.704596	0.986193	0.006622	1.140758
2460097.705125	0.997017	0.006610	1.139235
